,girlname,girlfreq
389,Addisyn,0.000244
390,Angie,0.00024300000000000002
391,Zelda,0.000242
392,Alma,0.000242
393,Crystal,0.000242
394,Julissa,0.00023500000000000002
395,Armani,0.000234
396,Lennox,0.000234
397,Joelle,0.00023199999999999997
398,Jolie,0.00023199999999999997
399,Bridget,0.000231
400,Aurelia,0.000231
401,Clarissa,0.000229
402,Marissa,0.00022799999999999999
403,Monroe,0.000227
404,Poppy,0.000226
405,Frida,0.000221
406,Royal,0.000221
407,Bonnie,0.00022
408,Stevie,0.00021899999999999998
409,Mina,0.000218
410,Tatiana,0.000218
411,Reign,0.00021600000000000002
412,Linda,0.000215
413,Faye,0.00021400000000000002
414,Brittany,0.000213
415,Astrid,0.000213
416,Briar,0.00021099999999999998
417,Bria,0.00021099999999999998
418,Teresa,0.00021
419,Hadassah,0.00020899999999999998
420,Guadalupe,0.00020800000000000001
421,Noa,0.00020800000000000001
422,Chanel,0.000207
423,Meadow,0.000206
424,Elora,0.00020299999999999997
425,Clementine,0.000202
426,Hunter,0.000202
427,Nola,0.00020099999999999998
428,Martha,0.000199
429,Simone,0.000199
430,Noemi,0.000196
431,Belen,0.000195
432,Salma,0.000192
433,Dulce,0.00018999999999999998
434,Mercy,0.00018899999999999999
435,Natasha,0.00018899999999999999
436,Deborah,0.00018899999999999999
437,Ariadne,0.00018700000000000002
438,Aya,0.00018600000000000002
439,Tori,0.000184
440,Adele,0.000183
441,Landry,0.000183
442,Rivka,0.000182
443,Angelique,0.000181
444,Mavis,0.000181
445,Romina,0.000181
446,Kai,0.00017900000000000001
447,Zaniyah,0.000178
448,Calliope,0.000178
449,Nalani,0.000178
450,Dalary,0.000177
451,Paola,0.000176
452,Jewel,0.000176
453,Giovanna,0.000176
454,Dream,0.000175
455,Corinne,0.000174
456,Azariah,0.000174
457,Whitney,0.000174
458,Claudia,0.000173
459,Joyce,0.000173
460,Paisleigh,0.000172
461,Tinsley,0.000172
462,Judith,0.00016999999999999999
463,Frankie,0.00016999999999999999
464,Aiyana,0.00016999999999999999
465,Audrina,0.000169
466,Paula,0.000169
467,Xiomara,0.000169
468,Amaris,0.000168
469,Rhea,0.000168
470,Lindsey,0.000166
471,Nancy,0.000166
472,Danica,0.000166
473,Paulina,0.000165
474,Harleigh,0.000165
475,Maxine,0.000165
476,Zainab,0.000164
477,Raquel,0.000164
478,Heavenly,0.00016299999999999998
479,Paloma,0.00016
480,Ramona,0.00016
481,Janessa,0.00016
482,Sandra,0.00015900000000000002
483,Itzayana,0.00015800000000000002
484,Marleigh,0.00015800000000000002
485,Barbara,0.000157
486,Novalee,0.000157
487,Taliyah,0.000157
488,Hadleigh,0.000156
489,Luella,0.000156
490,Brenda,0.000155
491,Casey,0.000155
492,Lizbeth,0.000153
493,Bexley,0.000152
494,Zion,0.000152
495,Joslyn,0.000151
496,Jayden,0.00015
497,Estrella,0.00015
498,Ingrid,0.000149
499,Marjorie,0.000148
500,Jurnee,0.000148
501,Legacy,0.000148
502,Magdalena,0.000147
503,Holland,0.000147
504,Courtney,0.000147
505,Saoirse,0.000146
506,Susan,0.000146
507,Naya,0.000145
508,Esperanza,0.000145
509,Treasure,0.000144
510,Kimora,0.000144
511,Desiree,0.000144
512,Spencer,0.00014199999999999998
513,Egypt,0.00014199999999999998
514,Aranza,0.00014199999999999998
515,Emerald,0.00014099999999999998
516,Tara,0.00014099999999999998
517,Florence,0.00014099999999999998
518,Sonia,0.00014099999999999998
519,Micah,0.00014099999999999998
520,Marlowe,0.00014
521,Sunny,0.00014
522,Yamileth,0.000139
523,Riya,0.000139
524,Saanvi,0.000138
525,Monserrat,0.000138
526,Bryleigh,0.000138
